Event Name,Event Description,Event Image,Event Date,Event Time,Event End Date,Event End Time,Place,Street,City,State,Pincode,Event URL
Free Wellness On The Green Event,"Wellness on the Lawn! April 25, 9AM–12PM | FREE Fitness classes, cold plunge, sauna, mimosas, IV bar & giveaways. Free + family-friendly Join us at Desert Ridge Marketplace for the Wellness on the Green Wellness Event on the AMC Lawn from 9AM-12PM for a morning of wellness, movement, and relaxation. Experience multiple FREE fitness classes, including classes from Reformed Pilates, PVOLVE( Jennifer Anisten's fitness company), refresh in our cold plunge and sauna, sip mimosas at our mobile Sip & Stroll bar, and boost your energy at the on-site IV station. Plus, enjoy giveaways, wellness-inspired surprises, and more as you recharge. This free, family-friendly event is the perfect way to glow, flow, and feel your best – don’t miss it!",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1181123652%2F2764083599591%2F1%2Foriginal.20260331-182826?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=79fd3f7629202385ccfb5e6f88fa1ad5,04/25/2026,09:00 AM,04/25/2026,12:00 PM,Desert Ridge Marketplace,21001 North Tatum Boulevard,Phoenix,AZ,85050,https://www.eventbrite.com/e/free-wellness-on-the-green-event-tickets-1986350171835
Buds-A-Palooza 2026,"Downtown Phoenix’s 21+ Music, Arts & Counter Culture Festival—2 live music stages, murals, food & good vibes all night in Roosevelt Row! 🕓 📍 Buds-A-Palooza is back — bigger, louder, and wilder than ever. On April 11th, six city blocks of Roosevelt Row will come alive with live music, art, food, and good vibes as Phoenix’s favorite counter culture festival takes over the streets. We’re talking two stages of nonstop music, live glass blowing demos, massive murals being painted in real time, and 20+ food and dessert vendors bringing every kind of munchie imaginable. Add in four bars, local artisans, and plenty of surprises, and you’ve got one unforgettable night in the heart of downtown. From fiery glassblowing and massive murals to an interactive Buds-A-Palooza photo wall, this event is built for good times and even better memories. Whether you’re into reggae or hip-hop rhythms, street art, or just love being surrounded by fun people and good energy, you’ll fit right in at Buds-A-Palooza.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1171060262%2F287233479754%2F1%2Foriginal.20251116-004643?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.438&fp-y=0.47&s=6113d9092ab880921ba751c4f68483fc,04/11/2026,02:00 PM,04/11/2026,10:00 PM,Bud's Glass Joint,907 North 5th Street,Phoenix,AZ,85004,https://www.eventbrite.com/e/buds-a-palooza-2026-tickets-1956978809299
Filipino Food Festival,"April is Filipino Food Month, and we’re celebrating the best way we know how… with a community food festival! Get ready to celebrate April - Filipino Food Month with music, food, and fun at the Filipinos Food Festival! Hosted by AZ Filipinos. This celebration will be a vibrant mix of tradition, talent, and togetherness. BYO Chair/Banig/Picnic Blanket :) Our mission is to connect Filipino Americans in Arizona through community building, culture, and celebration. AZ Filipinos aims to cultivate a vibrant, intergenerational Filipino community in Phoenix that honors our heritage, empowers our future, and creates inclusive spaces where every Filipino whether born here or newly arrived feels seen, celebrated, and connected.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176933080%2F2891117586101%2F1%2Foriginal.20260207-040723?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.451&fp-y=0.043&s=b32e2bab5c2a8c8cb3ae149ad4734d6a,04/25/2026,05:00 PM,04/25/2026,09:00 PM,Arizona Center,455 North 3rd Street,Phoenix,AZ,85004,https://www.eventbrite.com/e/filipino-food-festival-tickets-1982560349374
"MicroMania Midget Wrestling: Phoenix, AZ at Bull Shooters Night 1","MicroMania Midget Wrestling debuts at Bull Shooters in Phoenix, AZ on Saturday April 11th,2026 Night 1 21+ MicroMania Midget Wrestling debuts at Bull Shooters in Phoenix, AZ on Saturday April 11th, 2026 Night 1 MicroMania Midget Wrestling is a high powered, explosive, athletic Pro Wrestling show with just the right touch of comedy thrown in to make for a unforgettable BIG event not necessarily BIG people!! These 5 foot & under micro athletes may be short in stature but are giants in the world of entertainment where they will keep you on your feet screaming from the opening bell through the Main Event! MicroMania Midget Wrestling Promo Video Doors Open: 8pm Show Time: 9pm Age Restriction: 21+ Presale $20-General Admission * $40-Ringside ** Tickets $5 More Day of the Show $180-Guest Referee Package ** $300 -Sponsorship Package **** General admission varies per venue, it is sometimes standing or seated. **Ringside Seating consists of a guaranteed seat starting at the 1st Row and back. Depending on the venue capacity, there can be any number of Ringside seated rows, sometimes as many as 10. Seats are not numbered or reserved. In rare occasions Ringside doesn’t consist of a seat depending on Venue. ** Guest Referee Package Here’s your chance to be a part of our MicroMania show as a guest referee for one of our matches. The Package also includes exclusive training to turn an ordinary fan into a MicroMania Referee for the evening. So don’t miss your chance of a lifetime and climb into our MicroMania ring and become the talk of the town with the experience of a lifetime. Your Guest Referee Package is also your General Admission ticket to the event. Only 2 Referee Spots available per show *** Sponsorship PackageHere’s your chance to advertise your business and enjoy MicroMania Midget Wrestling at the same time with this rare opportunity to showcase your business with the Biggest Little Show in the USA. This Package includes 5 Free General Admission tickets.Call Billy Blade NOTE: Tickets are nonrefundable unless the show gets cancelled .Follow all things MicroMania Facebook: MicroMania Tour Instagram: MicroMania Tour Tik Tok: TheMicroManiaTour Website & Booking info:",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1152642773%2F238459995653%2F1%2Foriginal.20251014-092822?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=27ace9a6c11c08f73b1e731fcb667f18,04/11/2026,08:00 PM,04/11/2026,11:00 PM,Bull Shooters,3337 West Peoria Avenue,Phoenix,AZ,85029,https://www.eventbrite.com/e/micromania-midget-wrestling-phoenix-az-at-bull-shooters-night-1-tickets-1818077261029
Arizona Tiki Oasis 2026 - Seminar Tickets,"Daytime Seminars are a big part of Arizona Tiki Oasis. You may purchase all seminar tickets a la carte. Tiki Oasis was founded upon a concern for architectural preservation of mid-century design. We are proud to partner with one of the most successful and exquisite examples of mid-century restoration and preservation in America — the Hotel Valley Ho! The Phoenix area, AKA the Valley of the Sun, has a long, rich history of Tiki Style. The warm weather of Scottsdale and the sumptuous comfort of the 4-Diamond resort make the Arizona Tiki Oasis weekend a relaxed and luxurious experience. Enjoy a wide range of resort activities while sipping tropical cocktails and wearing your festive aloha wear! Bask in a variety of curated experiences: sip crafted cocktails by top mixologists, browse the pop-up Art Show, relax in a cabana by the pool, schedule a soothing spa treatment, attend an educational seminar, relish the rooftop sunsets, sway to the Arizona Tiki Oasis soundtrack, reserve Hotel Valley Ho Supperclub Ticket, shop the outdoor marketplace with a variety of artists, makers and traders and, of course, enjoy the overall Tiki island-in-the-desert vibe.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1175243983%2F102769305447%2F1%2Foriginal.20260119-151529?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=ea93c10b134ee8ad83351ff64a810e01,04/16/2026,,04/19/2026,09:00 AM,Hotel Valley Ho,6850 East Main Street,Scottsdale,AZ,85251,https://www.eventbrite.com/e/arizona-tiki-oasis-2026-seminar-tickets-tickets-1980876520998
Arizona Tiki Oasis,"Welcome to Arizona Tiki Oasis, a mid-century, cocktail, island lifestyle meet-up, held in the middle of the desert! Enjoy a wide range of resort activities while sipping tropical cocktails and wearing your aloha wear. Bask in a variety of curated experiences: sip craft cocktails by top mixologists, browse the Pop-up Art Show, relax in a private cabana by the pool, schedule a soothing spa treatment, attend an educational seminar, relish the rooftop sunsets, sway to the Tiki Oasis soundtrack, reserve Hotel Valley Ho dinner tickets, shop the outdoor marketplace with a variety of artists, makers and traders and, of course, enjoy the Tiki island-in-the-desert vibe. Although many events are all ages such as the marketplace and seminars, the overall event is adult-oriented. Arizona Tiki Oasis benefits Arizona Preservation Foundation.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1171109285%2F102769305447%2F1%2Foriginal.20251117-013412?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.515&fp-y=0.534&s=d24619efc58fb5ad30cf43dba566f619,04/16/2026,,04/19/2026,05:00 PM,Hotel Valley Ho,6850 East Main Street,Scottsdale,AZ,85251,https://www.eventbrite.com/e/arizona-tiki-oasis-tickets-1972134205497
SLEEP TOKEN ON REPEAT TEMPE / PHOENIX 2026,"Spinning non-stop Sleep Token tracks for you to worship for 3 hours. Dob in someone who Sleep Token has in a Chokehold for your chance to win a $100 bar tab! This is not a phase. It’s a ritual. We don’t mosh, we beg. Spinning non-stop Sleep Token tracks for you to worship for 3 hours. BEST SLEEP TOKEN ‘FIT WINS A VOUCHER! Staff wanted - multiple roles available! DJs, Designers, Photographers, Content Creators, Influencers, Videographers, Video Editors, Photo Editors, Door Staff, Event Hosting Staff, Event managers, plus more! INBOX THE EVENT PAGE TO APPLY. DO NOT CONTACT VENUES. To guarantee the authenticity of your tickets, please purchase them exclusively through the official link provided in our event listing. We strongly advise against purchasing tickets from any third-party resellers. Tickets advertised by private individuals are not verified by us and may be illegitimate. While we cannot guarantee that all venues are fully accessible to all patrons, we are committed to accommodating needs as best we can. We offer companion tickets and encourage you to contact the specific venues for detailed accessibility information. We do not tolerate any disrespectful behaviour toward other patrons. This event is DRINKING AGE ONLY - photo ID required. No refunds. The event's conclusion time is an estimate and may vary. Attendees should plan to arrive as early as possible to ensure they experience all event features.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1173815015%2F200284926746%2F1%2Foriginal.20260102-003032?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1440%2C720&s=56578cab0a0abaedb99a984e2b393bc2,04/25/2026,08:00 PM,04/25/2026,11:00 PM,Sunbar Tempe,24 West 5th Street,Tempe,AZ,85281,https://www.eventbrite.com/e/sleep-token-on-repeat-tempe-phoenix-2026-tickets-1979484798318
The Future of Design and Construction 2026 - U.S. Summit,"Building Transformations is returning to Phoenix to present an Immersive Innovation Showcase Experience! As emerging technologies like robotics, AI, VR, 3D printing, and automation continue to advance, integrating them effectively into real-world design and construction workflows—without disrupting operations—has become increasingly complex. At this summit, participants will move through the Innovation Center experiencing technology in action. Demonstrations will showcase real-world applications and workflows, featuring field technology, digital tools, robotics, AI, and automation that are transforming how infrastructure is planned, built, and managed across North America. This is your opportunity to move beyond theory: get hands-on with the technologies, challenge outdated processes, gain practical insight from industry leaders, and return with actionable strategies to boost efficiency, reduce rework, and improve project outcomes. ‍",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1171931133%2F2566978857391%2F1%2Foriginal.20251128-182100?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=cfbec04abb5c5073c77b880a951dd0d2,04/21/2026,,04/22/2026,05:30 PM,3125 E Wood St suite 200,3125 East Wood Street,suite 200 Phoenix,AZ,85040,https://www.eventbrite.ca/e/the-future-of-design-and-construction-2026-us-summit-tickets-1974981167838
"Great Food Expo, Shop Sip Sample April 25-26 Phoenix Conv Center","Sip, Shop Sample! Great Tasting Foods, Small Batch, Food Trucks, Desserts & Chocolates, Celebrity Chefs, Cooking Classes and Workshops Shop, Sip and Sample from emerging artisans, enjoy cooking demos and discover the best in Gourmet and Ethnic Foods, Beverages, Coffee and Teas, Specialty, Healthy or Organic Products, Gluten Free brands, innovative snacks, mouth-watering desserts, refreshing beverages, zesty cocktails, Food Trucks, Cooking Stages, Baking Workshops, Join us on",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1179989504%2F241475378607%2F1%2Foriginal.20260316-223727?w=600&auto=format%2Ccompress&q=75&sharp=10&s=1a2b99284133d121b23f5762a4288620,04/25/2026,,04/26/2026,10:00 AM,Phoenix Convention Center,33 South Third Street,Phoenix,AZ,85003,https://www.eventbrite.com/e/great-food-expo-shop-sip-sample-april-25-26-phoenix-conv-center-tickets-1500063372929
2026 Digital Marketing Strategies Conference,"The Digital Marketing Strategies Conference is a high-level executive planning event, designed to create high-performing automotive dealers. The Digital Marketing Strategies Conference is a high-level executive planning event, designed to assist automotive dealers with creating a market-dominating digital marketing strategy for the year ahead. Held annually, this event brings the top thought leaders from the automotive marketing industry to beautiful Scottsdale for an intimate conference experience unlike any other.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1180846346%2F111000972569%2F1%2Foriginal.20260327-155034?w=600&auto=format%2Ccompress&q=75&sharp=10&s=fd56bfbd12ba27141c328906005b1f19,04/26/2026,,04/28/2026,08:00 AM,The Westin Kierland Resort & Spa,6902 East Greenway Parkway,Scottsdale,AZ,85254,https://www.eventbrite.com/e/2026-digital-marketing-strategies-conference-registration-1828837475119
