Event Name,Event Description,Event Image,Event Date,Event Time,Event End Date,Event End Time,Place,Street,City,State,Pincode,Event URL
Free Wellness On The Green Event,"Wellness on the Lawn! April 25, 9AM–12PM | FREE Fitness classes, cold plunge, sauna, mimosas, IV bar & giveaways. Free + family-friendly Join us at Desert Ridge Marketplace for the Wellness on the Green Wellness Event on the AMC Lawn from 9AM-12PM for a morning of wellness, movement, and relaxation. Experience multiple FREE fitness classes, including classes from Reformed Pilates, PVOLVE( Jennifer Anisten's fitness company), refresh in our cold plunge and sauna, sip mimosas at our mobile Sip & Stroll bar, and boost your energy at the on-site IV station. Plus, enjoy giveaways, wellness-inspired surprises, and more as you recharge. This free, family-friendly event is the perfect way to glow, flow, and feel your best – don’t miss it!",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1181123652%2F2764083599591%2F1%2Foriginal.20260331-182826?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=79fd3f7629202385ccfb5e6f88fa1ad5,04/25/2026,09:00 AM,04/25/2026,12:00 PM,Desert Ridge Marketplace,21001 North Tatum Boulevard,Phoenix,AZ,85050,https://eventbrite.com/e/free-wellness-on-the-green-event-tickets-1986350171835
"Opening Reception of ""TINY""","FOUND:RE Contemporary and FOUND:RE Phoenix Hotel announce “Tiny,” an exhibition featuring local artists with works 8” x 8” or smaller. “Tiny” is explored through a variety of mediums such as painting, drawing, sculpture, photography, fiber art, printmaking, and more. This exhibition features artwork as little as 1” x 1” to as large as 8” x 8”. Visitors are sure to find something to delight them! “Tiny” features the work of Lando Acosta, Oz Anarchy, Mabry Anderson Andrew Arnt, Alison Auditore, Daphne Azzi, Joseph Bliol, Darcy Borg, Jen Bosen, Carolina Caples, Alberto Carbajal, Tara Catalano, Kara Chaddock, Clarie Chilton, Jacey Coca, Norman Davis, Nick Erickson, Jyll Ethier-Mullen, Gale Goldman (aka Goldwoman), Virginia Gott, Joshua Gridley, Aubree Hansen, Stacy Holmstedt, Lathenia Janae, Sandra Johnson Krause, Kiok Jun, Armida Kielty, Jackson Kloog, Igor Kogan, Dani Kump, Peter Kuttner, Myja Lark, Alex Minwoo Lee, Ellen MacEwan, Lamda Mahrya, Teena Maree, Thomas McKee, Max Myers, Ashley Pinnick, Carey Rasmussen, Revolta Art, Maria Rivas, Emily ""Stardust"" Roberts, Maxine Rose, Bruce Spiegel, Mohan Toopal, Emily Voigt, Kim Walker, Amber Wanlielista, Karla Watson, Mark Watson, Jeff Weiss, Hristi Wilbur, John Woodruff, and Chad Worth. The exhibition will be hung in the studio space at FOUND:RE Phoenix and opens to the public on April 17th. The show is open through October 11th, with an opening reception on April 17th, from 6-8pm. The exhibition will be presented as part of FOUND:RE Contemporary’s regular schedule of rotating exhibitions. The works will be for sale in person and at",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1181404755%2F260246399366%2F1%2Foriginal.20260403-223452?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.508&fp-y=0.473&s=34b8870aeb37e6bf7b0639b433a9ded8,04/17/2026,06:00 PM,04/17/2026,08:00 PM,FOUND:RE Phoenix Hotel,1100 North Central Avenue,Phoenix,AZ,85004,https://eventbrite.com/e/opening-reception-of-tiny-tickets-1986680636263
Filipino Food Festival,"April is Filipino Food Month, and we’re celebrating the best way we know how… with a community food festival! Get ready to celebrate April - Filipino Food Month with music, food, and fun at the Filipinos Food Festival! Hosted by AZ Filipinos. This celebration will be a vibrant mix of tradition, talent, and togetherness. BYO Chair/Banig/Picnic Blanket :) Our mission is to connect Filipino Americans in Arizona through community building, culture, and celebration. AZ Filipinos aims to cultivate a vibrant, intergenerational Filipino community in Phoenix that honors our heritage, empowers our future, and creates inclusive spaces where every Filipino whether born here or newly arrived feels seen, celebrated, and connected.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176933080%2F2891117586101%2F1%2Foriginal.20260207-040723?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.451&fp-y=0.043&s=b32e2bab5c2a8c8cb3ae149ad4734d6a,04/25/2026,05:00 PM,04/25/2026,09:00 PM,Arizona Center,455 North 3rd Street,Phoenix,AZ,85004,https://eventbrite.com/e/filipino-food-festival-tickets-1982560349374
SLEEP TOKEN ON REPEAT TEMPE / PHOENIX 2026,"Spinning non-stop Sleep Token tracks for you to worship for 3 hours. Dob in someone who Sleep Token has in a Chokehold for your chance to win a $100 bar tab! This is not a phase. It’s a ritual. We don’t mosh, we beg. Spinning non-stop Sleep Token tracks for you to worship for 3 hours. BEST SLEEP TOKEN ‘FIT WINS A VOUCHER! Staff wanted - multiple roles available! DJs, Designers, Photographers, Content Creators, Influencers, Videographers, Video Editors, Photo Editors, Door Staff, Event Hosting Staff, Event managers, plus more! INBOX THE EVENT PAGE TO APPLY. DO NOT CONTACT VENUES. To guarantee the authenticity of your tickets, please purchase them exclusively through the official link provided in our event listing. We strongly advise against purchasing tickets from any third-party resellers. Tickets advertised by private individuals are not verified by us and may be illegitimate. While we cannot guarantee that all venues are fully accessible to all patrons, we are committed to accommodating needs as best we can. We offer companion tickets and encourage you to contact the specific venues for detailed accessibility information. We do not tolerate any disrespectful behaviour toward other patrons. This event is DRINKING AGE ONLY - photo ID required. No refunds. The event's conclusion time is an estimate and may vary. Attendees should plan to arrive as early as possible to ensure they experience all event features.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1173815015%2F200284926746%2F1%2Foriginal.20260102-003032?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C1440%2C720&s=56578cab0a0abaedb99a984e2b393bc2,04/25/2026,08:00 PM,04/25/2026,11:00 PM,Sunbar Tempe,24 West 5th Street,Tempe,AZ,85281,https://eventbrite.com/e/sleep-token-on-repeat-tempe-phoenix-2026-tickets-1979484798318
"Great Food Expo, Shop Sip Sample April 25-26 Phoenix Conv Center","Sip, Shop Sample! Great Tasting Foods, Small Batch, Food Trucks, Desserts & Chocolates, Celebrity Chefs, Cooking Classes and Workshops Shop, Sip and Sample from emerging artisans, enjoy cooking demos and discover the best in Gourmet and Ethnic Foods, Beverages, Coffee and Teas, Specialty, Healthy or Organic Products, Gluten Free brands, innovative snacks, mouth-watering desserts, refreshing beverages, zesty cocktails, Food Trucks, Cooking Stages, Baking Workshops, Join us on",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1179989504%2F241475378607%2F1%2Foriginal.20260316-223727?w=600&auto=format%2Ccompress&q=75&sharp=10&s=1a2b99284133d121b23f5762a4288620,04/25/2026,10:00 AM,04/26/2026,05:00 PM,Phoenix Convention Center,33 South Third Street,Phoenix,AZ,85003,https://eventbrite.com/e/great-food-expo-shop-sip-sample-april-25-26-phoenix-conv-center-tickets-1500063372929
Passion for Humanity - Where Love Meets Need,"Join us as we share our mission, reflect on what God has accomplished, and cast our vision for the future.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1175134219%2F1958485126203%2F1%2Foriginal.20260117-181913?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.446&s=e9e50ef69b5f342299c78074c3dcbb6a,04/19/2026,01:30 PM,04/19/2026,03:30 PM,St Joan Of Arc Catholic Church,3801 East Greenway Road,Phoenix,AZ,85032,https://eventbrite.com/e/passion-for-humanity-where-love-meets-need-tickets-1980569272008
2026 Public Interest Communications Summer Institute,"Join us at Arizona State University as we learn, share and explore the emerging academic discipline of public interest communications! The Join university and college faculty, students, researchers, administrators and professionals who want to learn and share knowledge about the growing academic discipline of The institute offers valuable skills, networking opportunities and new friendships. Whether you are well-versed in strategic communications for social change or new to the field, this institute is for you! First time? Welcome! Questions? Contact abradbery@jou.ufl.edu.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1137948553%2F490460364049%2F1%2Foriginal.20250928-162943?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.885&fp-y=0.293&s=6067290172a556d6e1c9edcb4fdd3130,05/19/2026,06:00 PM,05/21/2026,01:00 PM,Walter Cronkite School of Journalism and Mass Communication,555 North Central Avenue,Phoenix,AZ,85004,https://eventbrite.com/e/2026-public-interest-communications-summer-institute-tickets-1751786924849
"AZ Women's Expo Beauty + Fashion + Pop Up Shops, Celebs, April 25-26","Over 400 Pop Up Shops, Free Samples, Tastings, Beauty Treatments, Fashion Shows, DIY Craft Workshops, Valerie Bertinelli, Cameron Mathison! Time for you to get pampered with",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1180177066%2F86652121411%2F1%2Foriginal.20260318-203734?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.415&fp-y=0.535&s=d9b2d4a1df2d266cfd321e518f946173,04/25/2026,,04/26/2026,,Phoenix Convention Center,33 South Third Street,Phoenix,AZ,85003,https://eventbrite.com/e/az-womens-expo-beauty-fashion-pop-up-shops-celebs-april-25-26-tickets-1980583396254
2026 Physician CME Conference: The Future of Medicine in Arizona,"Join the Arizona Medical Association for CME sessions on the future of medicine, a fireside chat with the AMA President & so much more! Registration is now open for the Our premier conference is",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1177316348%2F685326617753%2F1%2Foriginal.20260211-204148?w=600&auto=format%2Ccompress&q=75&sharp=10&s=5fb43b82829ca8491c97be9d1ea1714b,05/02/2026,07:30 AM,05/02/2026,06:30 PM,Creighton University Health Sciences Campus - Phoenix,3100 North Central Avenue,Phoenix,AZ,85012,https://eventbrite.com/e/2026-physician-cme-conference-the-future-of-medicine-in-arizona-tickets-1982294029805
Space Rising I Supernova Gala,Bringing together leaders across the space ecosystem for an inspiring evening dedicated to the future of space. April 29 I 6:00-10:00 pm • • • Formal Dinner,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1179691240%2F2987324319877%2F1%2Foriginal.20260312-145804?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=084efa60374817af8b60f5ee0f6f012d,04/29/2026,06:00 PM,04/29/2026,10:00 PM,Hyatt Regency Phoenix,122 North 2nd Street,Phoenix,AZ,85004,https://eventbrite.com/e/space-rising-i-supernova-gala-registration-1979183261413
