Event Name,Event Description,Event Image,Event Date,Event Time,Event End Date,Event End Time,Place,Street,City,State,Pincode,Event URL
Free Wellness On The Green Event,"Wellness on the Lawn! April 25, 9AM–12PM | FREE Fitness classes, cold plunge, sauna, mimosas, IV bar & giveaways. Free + family-friendly Join us at Desert Ridge Marketplace for the Wellness on the Green Wellness Event on the AMC Lawn from 9AM-12PM for a morning of wellness, movement, and relaxation. Experience multiple FREE fitness classes, including classes from Reformed Pilates, PVOLVE( Jennifer Anisten's fitness company), refresh in our cold plunge and sauna, sip mimosas at our mobile Sip & Stroll bar, and boost your energy at the on-site IV station. Plus, enjoy giveaways, wellness-inspired surprises, and more as you recharge. This free, family-friendly event is the perfect way to glow, flow, and feel your best – don’t miss it!",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1181123652%2F2764083599591%2F1%2Foriginal.20260331-182826?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=79fd3f7629202385ccfb5e6f88fa1ad5,04/25/2026,09:00 AM,04/25/2026,12:00 PM,Desert Ridge Marketplace,21001 North Tatum Boulevard,Phoenix,AZ,85050,https://eventbrite.com/e/free-wellness-on-the-green-event-tickets-1986350171835
"Opening Reception of ""TINY""","FOUND:RE Contemporary and FOUND:RE Phoenix Hotel announce “Tiny,” an exhibition featuring local artists with works 8” x 8” or smaller. “Tiny” is explored through a variety of mediums such as painting, drawing, sculpture, photography, fiber art, printmaking, and more. This exhibition features artwork as little as 1” x 1” to as large as 8” x 8”. Visitors are sure to find something to delight them! “Tiny” features the work of Lando Acosta, Oz Anarchy, Mabry Anderson Andrew Arnt, Alison Auditore, Daphne Azzi, Joseph Bliol, Darcy Borg, Jen Bosen, Carolina Caples, Alberto Carbajal, Tara Catalano, Kara Chaddock, Clarie Chilton, Jacey Coca, Norman Davis, Nick Erickson, Jyll Ethier-Mullen, Gale Goldman (aka Goldwoman), Virginia Gott, Joshua Gridley, Aubree Hansen, Stacy Holmstedt, Lathenia Janae, Sandra Johnson Krause, Kiok Jun, Armida Kielty, Jackson Kloog, Igor Kogan, Dani Kump, Peter Kuttner, Myja Lark, Alex Minwoo Lee, Ellen MacEwan, Lamda Mahrya, Teena Maree, Thomas McKee, Max Myers, Ashley Pinnick, Carey Rasmussen, Revolta Art, Maria Rivas, Emily ""Stardust"" Roberts, Maxine Rose, Bruce Spiegel, Mohan Toopal, Emily Voigt, Kim Walker, Amber Wanlielista, Karla Watson, Mark Watson, Jeff Weiss, Hristi Wilbur, John Woodruff, and Chad Worth. The exhibition will be hung in the studio space at FOUND:RE Phoenix and opens to the public on April 17th. The show is open through October 11th, with an opening reception on April 17th, from 6-8pm. The exhibition will be presented as part of FOUND:RE Contemporary’s regular schedule of rotating exhibitions. The works will be for sale in person and at",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1181404755%2F260246399366%2F1%2Foriginal.20260403-223452?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.508&fp-y=0.473&s=34b8870aeb37e6bf7b0639b433a9ded8,04/17/2026,06:00 PM,04/17/2026,08:00 PM,FOUND:RE Phoenix Hotel,1100 North Central Avenue,Phoenix,AZ,85004,https://eventbrite.com/e/opening-reception-of-tiny-tickets-1986680636263
RED & FRIENDS,RED & FRIENDS w/ special guests Camello Road - Celebrating Rob Lichtenstein's Birthday!,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1180612919%2F269527761274%2F1%2Foriginal.20260324-221114?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.501&fp-y=0.573&s=59c808943ff7476c2871534713c8aaf6,04/17/2026,08:00 PM,04/17/2026,,Last Exit Live,717 S. Central Ave,Phoenix,AZ,85004,https://eventbrite.com/e/red-friends-tickets-1985873654559
Petite Bakers Extravaganza!,The perfect week for our littlest bakers!,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F94386541%2F101529178905%2F2%2Foriginal.jpg?w=512&auto=format%2Ccompress&q=75&sharp=10&s=e432365bd24e143c04d1ffd751063a56,06/22/2026,09:00 AM,06/25/2026,12:00 PM,Paula Jacqueline Cakes & Pastries,4151 North Marshall Way,Suite 8 Scottsdale,AZ,85251,https://eventbrite.com/e/petite-bakers-extravaganza-tickets-1979576134507
"Cross Functional Workflow Optimization: 1 Day Training in Phoenix, AZ","Learn workflow mapping, bottleneck analysis, SOP creation, cross-functional collaboration techniques to improve clarity and team alignment. Save This 1Day course provides a practical framework for optimizing workflows and improving collaboration across cross-functional teams. You learn how to create process maps, swim lane diagrams, and SOPs to bring clarity to work streams. The course teaches how to identify bottlenecks, streamline handoffs, and improve communication between departments. Through structured steps and real examples, you gain the skills to enhance efficiency, reduce delays, and build a more aligned workflow culture within your organization. By the end of this course, you will be able to: This course simplifies workflow optimization into practical, easy-to-apply methods. The trainer brings strong experience in operations improvement, process mapping, and cross-functional team alignment. Real examples and activities ensure your team can immediately apply what they learn. The content is designed to help you improve efficiency, communication, and operational clarity across teams. Know a team or professional who could benefit from our workshops? Refer them and earn attractive royalties for every successful registration",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1171902092%2F2740397811611%2F1%2Foriginal.20251128-041956?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=2e421a2e4f10692d7cc6fc4a18c1ac83,Multiple dates,,,,24th At Camelback,2375 East Camelback Road Suite 600,Ph No +1 469 666 9332 Phoenix,AZ,85016,https://eventbrite.com/e/cross-functional-workflow-optimization-1-day-training-in-phoenix-az-tickets-1977857776853
"Operational 5S Methodology in Lean: 1 Day Training in Phoenix, AZ","Master 5S principles, audits, and workplace organization techniques to build cleaner, safer, and more efficient workspaces. Save This 1 Day course provides a practical understanding of the 5S Methodology: Sort, Set in Order, Shine, Standardize, and Sustain as a core component of Lean Thinking. You learn structured methods to remove waste, organize workspaces, create visual order, and maintain long-term discipline. The training includes audit checklists, implementation frameworks, and real workplace examples to help operations teams build efficiency, reduce errors, and improve safety. The course gives you a clear roadmap for implementing 5S across departments. By the end of this course, you will be able to: This course provides a hands-on, practical approach to implementing 5S, making it ideal for both manufacturing and corporate environments. The trainer brings real experience in Lean, quality, and operational efficiency. Each concept is simplified with examples, checklists, and frameworks that you can apply immediately. You leave with clarity on how to transform work areas into organized, high-performing operations. Know a team or professional who could benefit from our workshops? Refer them and earn attractive royalties for every successful registration",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1171902092%2F2740397811611%2F1%2Foriginal.20251128-041956?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=2e421a2e4f10692d7cc6fc4a18c1ac83,Multiple dates,,,,24th At Camelback,2375 East Camelback Road Suite 600,Ph No +1 469 666 9332 Phoenix,AZ,85016,https://eventbrite.com/e/operational-5s-methodology-in-lean-1-day-training-in-phoenix-az-tickets-1977576298945
"Organizational Skills 1-Day Workshop | Tempe, AZ","Get ready to level up your organization game with our hands-on workshop - say goodbye to chaos and hello to productivity! 🗂️ Being organized isn’t just about a tidy desk—it’s about creating systems that save time, reduce stress, and boost efficiency. In today’s fast-paced world, professionals who master organizational skills enjoy This Through interactive exercises, case studies, and actionable frameworks, you will learn how to: ✅ Declutter your workspace and digital life By the end of this session, you will walk away with This workshop is ideal for: No prior knowledge is required—just the 🕘 🕤 🕙 ☕ 🕚 🍴 🕐 🕑 ☕ 🕞 🕓 🕟 📘 Comprehensive course manual with slides & reference material Want this course delivered at your workplace or for your team? We offer customized onsite and virtual sessions for companies.📩 Email us at",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1134771113%2F2510240842121%2F1%2Foriginal.20250925-022809?w=600&auto=format%2Ccompress&q=75&sharp=10&s=649e6c4a8e7019363a2e9c8ba4eee671,Multiple dates,,,,For venue details reach us at info@learnerring.com,PH: +1 505 369 2908,Tempe,AZ,85282,https://eventbrite.com/e/organizational-skills-1-day-workshop-tempe-az-tickets-1776525438409
"PMP Certification In-Person Training in Scottsdale, AZ","Pass the PMP exam on your first try! Join our 4-day PMI® Authorized Bootcamp in NYC—includes 35 contact hours and expert coaching. Join our intensive, We are a Check out our official badge Our PMP Training is built around the latest You will leave the bootcamp prepared to immediately apply: We don't just teach the material; we equip you for success. Our PMP Certification classroom training includes: This intensive program is the ideal match for: iCertGlobal is a global leader in professional certification training, dedicated to delivering high-quality, impactful learning experiences. We leverage veteran, PMP-certified instructors and a globally trusted curriculum. Our singular focus is simple: We also offer top-tier training for: For any queries related to the exam, location, course material or more, please connect with us.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1155255393%2F2904695027521%2F1%2Foriginal.20251016-185350?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.491&fp-y=0.208&s=6357ae2d2185af4da7c5dc618837f9d6,Multiple dates,,,,15333 N Pima Rd,15333 North Pima Road,Scottsdale,AZ,85260,https://eventbrite.com/e/pmp-certification-in-person-training-in-scottsdale-az-tickets-1850623708329
2026 Executive of the Year Award honoring Todd LaPorte,"President and CEO, HonorHealth With now 40 years of diverse experience in healthcare, Todd LaPorte leads an integrated health system with nine acute-care hospitals, a surgical hospital, a rehab hospital , a behavioral health hospital, an extensive footprint of outpatient services (through dozens of medical group practices, ambulatory surgery centers, and various forms of urgent care settings), and an array of community services (including a food bank, adult day care, a children’s learning center, and an anchor role with a community well-being Blue Zones project). To advance HonorHealth’s mission to improve the health and well-being of the community, he creates an environment where every team member – over 20,000 clinical and support staff, volunteers and physicians – collaborates to deliver a top decile patient experience and make a positive impact on the health of our community. The scale of employees makes HonorHealth the fifth largest employer in Arizona. Since joining HonorHealth in 2001, he has held executive roles where he focused on financial and strategic leadership. He has shaped a system with many access points to provide convenience for patients. He has promoted innovative technologies and engaged employees & physicians at a top quartile level as measured by industry benchmark. In April 2017, Todd became the 10th CEO in more than 150 years of HonorHealth history. Prior to HonorHealth, he held senior management roles for an international CPA firm that served many Arizona healthcare clients, as well as clients in high-tech manufacturing and consumer services. He was also the CFO of a privately held healthcare company that served over a half million Arizonans. Todd was named CFO of the Year by the Arizona chapter of the Financial Executives International in 2012 and was recognized by Becker's Healthcare in 2024 as one of the ""Great Leaders in Healthcare.” He is a CPA , holds a bachelor's degree in business from the University of Arizona and an MBA from Arizona State University. Todd has served as board chair for a chapter of Big Brothers/Big Sisters, the Scottsdale Aquatic Club, the Paradise Valley School District’s supporting Foundation for Public Education, and the Health System Alliance of Arizona. He currently serves on the boards of Experience Scottsdale, the Greater Phoenix Economic Council., Health Insights, and the board for Region 8 of the American Hospital Association. He is also a member of Greater Phoenix Leadership and a Scottsdale chapter for C12.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1178944950%2F209581375528%2F1%2Foriginal.20260303-204118?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=7b1eda0d6b35a43616e02c240aa153bc,04/23/2026,11:30 AM,04/23/2026,01:30 PM,JW Marriott Scottsdale Camelback Inn Resort & Spa,5402 East Lincoln Drive,Scottsdale,AZ,85253,https://eventbrite.com/e/2026-executive-of-the-year-award-honoring-todd-laporte-tickets-1984411910443
"Financial Risk Management for Teens – 1 Day Session in Phoenix, AZ","A practical 1 day program that help teenagers build smart money habits, avoid financial risks, develop confidence before entering adulthood. Save The program introduces financial risk concepts in a clear, age-appropriate manner. It focuses on everyday situations teens face spending, saving, borrowing, digital payments, and online risks, helping them develop awareness before financial mistakes occur. Through real-life examples, guided activities, and interactive learning, participants gain practical money skills and confidence in just one day. Know a team or professional who could benefit from our workshops? Refer them and earn attractive royalties for every successful registration",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1171902092%2F2740397811611%2F1%2Foriginal.20251128-041956?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=2e421a2e4f10692d7cc6fc4a18c1ac83,Multiple dates,,,,24th At Camelback,2375 East Camelback Road,Ph No +1 469 666 9332 Phoenix,AZ,85016,https://eventbrite.com/e/financial-risk-management-for-teens-1-day-session-in-phoenix-az-tickets-1980842553400
