Event Name,Event Description,Event Image,Event Date,Event Time,Event End Date,Event End Time,Place,Street,City,State,Pincode,Event URL
The Future of Design and Construction 2026 - U.S. Summit,"Building Transformations is returning to Phoenix to present an Immersive Innovation Showcase Experience! As emerging technologies like robotics, AI, VR, 3D printing, and automation continue to advance, integrating them effectively into real-world design and construction workflows—without disrupting operations—has become increasingly complex. At this summit, participants will move through the Innovation Center experiencing technology in action. Demonstrations will showcase real-world applications and workflows, featuring field technology, digital tools, robotics, AI, and automation that are transforming how infrastructure is planned, built, and managed across North America. This is your opportunity to move beyond theory: get hands-on with the technologies, challenge outdated processes, gain practical insight from industry leaders, and return with actionable strategies to boost efficiency, reduce rework, and improve project outcomes. ‍",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1171931133%2F2566978857391%2F1%2Foriginal.20251128-182100?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=cfbec04abb5c5073c77b880a951dd0d2,04/21/2026,05:30 PM,04/22/2026,07:30 PM,3125 E Wood St suite 200,3125 East Wood Street,suite 200 Phoenix,AZ,85040,https://eventbrite.com/e/the-future-of-design-and-construction-2026-us-summit-tickets-1974981167838?aff=ebdssbdestsearch
"Great Food Expo, Shop Sip Sample April 25-26 Phoenix Conv Center","Sip, Shop Sample! Great Tasting Foods, Small Batch, Food Trucks, Desserts & Chocolates, Celebrity Chefs, Cooking Classes and Workshops Shop, Sip and Sample from emerging artisans, enjoy cooking demos and discover the best in Gourmet and Ethnic Foods, Beverages, Coffee and Teas, Specialty, Healthy or Organic Products, Gluten Free brands, innovative snacks, mouth-watering desserts, refreshing beverages, zesty cocktails, Food Trucks, Cooking Stages, Baking Workshops, Join us on",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1179989504%2F241475378607%2F1%2Foriginal.20260316-223727?w=600&auto=format%2Ccompress&q=75&sharp=10&s=1a2b99284133d121b23f5762a4288620,04/25/2026,10:00 AM,04/26/2026,05:00 PM,Phoenix Convention Center,33 South Third Street,Phoenix,AZ,85003,https://eventbrite.com/e/great-food-expo-shop-sip-sample-april-25-26-phoenix-conv-center-tickets-1500063372929
2026 Public Interest Communications Summer Institute,"Join us at Arizona State University as we learn, share and explore the emerging academic discipline of public interest communications! The Join university and college faculty, students, researchers, administrators and professionals who want to learn and share knowledge about the growing academic discipline of The institute offers valuable skills, networking opportunities and new friendships. Whether you are well-versed in strategic communications for social change or new to the field, this institute is for you! First time? Welcome! Questions? Contact abradbery@jou.ufl.edu.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1137948553%2F490460364049%2F1%2Foriginal.20250928-162943?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.885&fp-y=0.293&s=6067290172a556d6e1c9edcb4fdd3130,05/19/2026,06:00 PM,05/21/2026,01:00 PM,Walter Cronkite School of Journalism and Mass Communication,555 North Central Avenue,Phoenix,AZ,85004,https://eventbrite.com/e/2026-public-interest-communications-summer-institute-tickets-1751786924849
The Afro-Beats Xperience – All White Party Phx,"Silent Partner Presents: The Afro-Beats Xperience – All White Party Silent Partner Presents: The Afro-Beats Xperience – All White Party Get ready for an unforgettable night of rhythm, culture, and elevated vibes as Silent Partner brings you The Afro-Beats Xperience All White Party where style meets sound and the dance floor never stops moving. Immerse yourself in the electrifying sounds of Afro-Beats and Amapiano, curated for music lovers who appreciate global vibes, high energy, and premium nightlife experiences. This Memorial Day Weekend, step out in your best All White Attire and experience an upscale party atmosphere featuring world-class music, beautiful people, and an unmatched late-night vibe. Music By: Top Indmix DJs bringing the heat with the best in Afro-Beats, Amapiano, and international party anthems. Event Details: Location: Stadium Sports Bar & Lounge Address: 50 West Jefferson Street, Phoenix, Arizona 85003 Date: Sunday, May 24, 2026 Time: 9:30 PM – 2:00 AM Dress Code: All White Fashion (Highly Encouraged) Celebrate Memorial Day Weekend the right way great music, premium energy, and an experience you don’t want to miss. Secure your tickets early. This event is expected to sell out. All sales final absolutely no refunds",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176846546%2F41750228056%2F1%2Foriginal.20260206-031052?w=600&auto=format%2Ccompress&q=75&sharp=10&s=866e3ed7a5af5f3d829412cda44a37cc,05/24/2026,09:30 PM,05/25/2026,02:00 AM,Stadium Sports Bar & Lounge,50 West Jefferson Street,STE 280 Phoenix,AZ,85003,https://eventbrite.com/e/the-afro-beats-xperience-all-white-party-phx-tickets-1982477896756?aff=ebdssbdestsearch&_gl=1*mqtu7j*_up*MQ..*_ga*MTk3Nzc5MDIwMy4xNzc2MzE2NDAx*_ga_TQVES5V6SH*czE3NzYzMTY0MDAkbzEkZzAkdDE3NzYzMTY0MDAkajYwJGwwJGgw
TECHSPO Phoenix 2026 Technology Expo (Internet ~ AdTech ~ MarTech),"TECHSPO Phoenix Technology Expo (Internet ~ Mobile ~ AdTech ~ MarTech ~ SaaS) - June 11 - 12, 2026 - Phoenix, AZ Step into the future at Here’s why you can’t miss it: Now in its Alongside TECHSPO, attendees also have exclusive access to 👉 For complete event details, visit: Get ready to explore these exciting zones at The Visitor Pass does NOT include: The Training Pass does NOT include: The All Access Pass does NOT include: For the best onsite experience a 1-Day Training Pass, 2-Day All Access Pass or 2-Day VIP Pass is recommended. Are you ready to experience ⚡",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1165052763%2F167645577512%2F1%2Foriginal.20251029-020118?w=600&auto=format%2Ccompress&q=75&sharp=10&s=0d725eb338dbb4c21b46eeaf82966ecd,06/11/2026,09:00 AM,06/12/2026,04:00 PM,Hyatt Regency Phoenix,122 North 2nd Street,Phoenix,AZ,85004,https://eventbrite.com/e/techspo-phoenix-2026-technology-expo-internet-adtech-martech-tickets-1653506605769
Couples Workshop-Hold Me Tight®,"Couples will learn to overcome negative stuck spots, communicate for closeness and care, and heal relational hurts and injuries. Our Hold Me Tight® Workshop for Couples is based on Attachment Theory, Emotionally Focused Couples Therapy, and the international best-selling book ""Hold Me Tight: Seven Conversations for a Lifetime of Love"" by Dr. Sue Johnson. In our workshop, you will learn what is at the root of most conflicts between you and your partner, and how to change those moments through a proven method that all couples can do. Investing in a couples workshop as a new couple, engaged or newlywed pair is one of the most proactive and rewarding steps you can take for your relationship. These workshops equip you with tools to navigate challenges, communicate effectively, and build a strong foundation rooted in mutual understanding and respect. Think of it as preventative care for your love—addressing potential issues before they arise and fostering a deeper connection that lasts. Prioritize this relationship early!**This is also a great gift to consider for loved ones and family members who are wanting to learn about creating healthy relationship foundations but might not have the resources to attend** For couples who have been together for years, a couples workshop can reignite the spark and strengthen the connection that first brought you together. Over time, life’s demands can lead to communication gaps or unspoken frustrations, but this workshop provides a safe and supportive space to reconnect. You’ll learn new strategies to deepen intimacy, resolve conflicts, and rediscover the joy in your partnership. Whether you’re navigating a rough patch or simply seeking to grow together, this experience can breathe new life into your relationship, fostering a bond that’s resilient and more fulfilling than ever. You will not be doing large group sharing as much as having private conversations with your partner and the two of you have an option to utilize the therapists that are assisting to help with these conversations. This workshop will be facilitated by Michelle Hildt and the Therapy With Heart Team. Hold Me Tight® is a registered trademark to Sue Johnson",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F542334609%2F132187112645%2F1%2Foriginal.20230624-204645?w=600&auto=format%2Ccompress&q=75&sharp=10&s=073e65436fbc8b4884f1b77d2ec23804,04/24/2026,05:00 PM,04/25/2026,04:30 PM,Fuller Seminary Arizona,1110 East Missouri Avenue,530 Phoenix,AZ,85014,https://eventbrite.com/e/couples-workshop-hold-me-tight-tickets-1980153496412?aff=ebdssbdestsearch&_gl=1*c8awow*_up*MQ..*_ga*Njg3MTU4MjA0LjE3NzYzMTcwMzk.*_ga_TQVES5V6SH*czE3NzYzMTcwMzgkbzEkZzAkdDE3NzYzMTcwMzgkajYwJGwwJGgw
Fantastic,"High energy warehouse event featuring top house and EDM DJ's, dancers, fire performers, and immersive vibes until sunrise. Step into a high energy warehouse experience designed to bring people together through music, movement, and connection. This is a Three stage event featuring a powerful collaboration of nightlife producers, promoters, and DJ's delivering house, EDM, and late-night circuit energy from 10PM until sunrise. The mainstage will deliver the heartbeat of the night, while a transformed party bus stage offers an intimate high intensity dance experience, and a Big Black Bus Stage will provide a karaoke escape to live your best popstar life. Throughout the evening and early morning attendees can expect: Gogo performers Fire performers A fully immersed lighting experience Food and Beverage trucks Pop-up venders Outdoor space This event is about more than muisc. It is about creating a safe, inclusive space where different communities intersect, house heads, ravers, circuit lovers, allies, and newcomers alike. Come dressed to express. Come ready to move. Come ready to connect. This is not just a party. It's a moment. It's new memories made for a lifetime.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1179629819%2F2993726637568%2F1%2Foriginal.20260311-203008?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.027&fp-y=0.75&s=11c39bf2204657cbbfa5394e2ee4a6b2,05/08/2026,10:00 PM,05/09/2026,06:00 AM,The Fillmore,2130 West Fillmore Street,Phoenix,AZ,85009,https://eventbrite.com/e/fantastic-tickets-1984203316533
"P.L.A.N. Appraiser & Umpire Certification Course, Phoenix Arizona",Join The Property Loss Appraisal Network May 4th -May 8th 2026 as we battle the Wild Wild West of Appraisal in Phoenix AZ. ********************************************************************************************************,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F392227149%2F157088796733%2F1%2Foriginal.20220812-015933?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C62%2C2000%2C1000&s=5641ccedc9703d14a7b721e1926a2378,05/04/2026,08:30 AM,05/08/2026,05:30 PM,Hilton Phoenix Airport,2435 South 47th Street,Phoenix,AZ,85034,https://eventbrite.com/e/plan-appraiser-umpire-certification-course-phoenix-arizona-tickets-1335424483579
Sanzu Redemption Tour AZ,"Sanzu is bringing the Redemption tour to Arizona . Don’t miss out on the in-person experience of the Sanzu Redemption Tour AZ. This is your chance to catch all the live action up close and personal. Feel the energy, vibe with the crowd, and make memories that last. Whether you’re a long-time fan or just curious, this event is all about good times and great music. Come join us and be part of the excitement!",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1180008258%2F292111015164%2F1%2Foriginal.20260317-021630?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.708&fp-y=0.835&s=09d37819e3353ae02fef3d1f0132f891,04/17/2026,09:00 PM,04/18/2026,02:00 AM,Stadium Sports Bar & Lounge,50 West Jefferson Street,STE 280 Phoenix,AZ,85003,https://eventbrite.com/e/sanzu-redemption-tour-az-tickets-1980163485289?aff=ebdssbdestsearch&_gl=1*1wbi7q8*_up*MQ..*_ga*MTIwNzc1NTExOS4xNzc2MzE3MzA0*_ga_TQVES5V6SH*czE3NzYzMTczMDMkbzEkZzAkdDE3NzYzMTczMDMkajYwJGwwJGgw
The Institute for Tissue Regeneration & Repair - Phoenix 2026,"Let's connect! Register for The Institute for Tissue Regeneration & Repair Conference! Join us in Spring 2026 in Phoenix! Join us Saturday and Sunday, May 16-17, 2026 for the Institute for Tissue Regeneration & Repair Conference, where you’ll have the unique opportunity to collaborate and learn from some of today’s most acclaimed leaders in the field of regenerative medicine. Attendees will discover why Shockwave Therapy and EMTT as well as other regenerative approaches are transforming patient care for physicians around the world. Here you’ll gain a deep understanding of these regenerative techniques and technologies. Education and training will include lectures, panels, round tables, and hands-on training. PLUS: Hear from key executives from STORZ Medical as well as from US leaders in Shockwave, EMTT, and regenerative medicine",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1175372077%2F998966998873%2F1%2Foriginal.20260120-193444?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=2526f71faefbf67b51d89688c100f5c1,05/16/2026,08:30 AM,05/17/2026,01:00 PM,Hyatt Regency Phoenix,122 North 2nd Street,Phoenix,AZ,85004,https://eventbrite.com/e/the-institute-for-tissue-regeneration-repair-phoenix-2026-registration-1978424471853
