Event Name,Event Description,Event Image,Event Date,Event Time,Event End Date,Event End Time,Place,Street,City,State,Pincode,Event URL
Free Wellness On The Green Event,"Wellness on the Lawn! April 25, 9AM–12PM | FREE Fitness classes, cold plunge, sauna, mimosas, IV bar & giveaways. Free + family-friendly Join us at Desert Ridge Marketplace for the Wellness on the Green Wellness Event on the AMC Lawn from 9AM-12PM for a morning of wellness, movement, and relaxation. Experience multiple FREE fitness classes, including classes from Reformed Pilates, PVOLVE( Jennifer Anisten's fitness company), refresh in our cold plunge and sauna, sip mimosas at our mobile Sip & Stroll bar, and boost your energy at the on-site IV station. Plus, enjoy giveaways, wellness-inspired surprises, and more as you recharge. This free, family-friendly event is the perfect way to glow, flow, and feel your best – don’t miss it!",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1181123652%2F2764083599591%2F1%2Foriginal.20260331-182826?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=79fd3f7629202385ccfb5e6f88fa1ad5,04/25/2026,09:00 AM,04/25/2026,12:00 PM,Desert Ridge Marketplace,21001 North Tatum Boulevard,Phoenix,AZ,85050,https://eventbrite.com/e/free-wellness-on-the-green-event-tickets-1986350171835
"Opening Reception of ""TINY""","FOUND:RE Contemporary and FOUND:RE Phoenix Hotel announce “Tiny,” an exhibition featuring local artists with works 8” x 8” or smaller. “Tiny” is explored through a variety of mediums such as painting, drawing, sculpture, photography, fiber art, printmaking, and more. This exhibition features artwork as little as 1” x 1” to as large as 8” x 8”. Visitors are sure to find something to delight them! “Tiny” features the work of Lando Acosta, Oz Anarchy, Mabry Anderson Andrew Arnt, Alison Auditore, Daphne Azzi, Joseph Bliol, Darcy Borg, Jen Bosen, Carolina Caples, Alberto Carbajal, Tara Catalano, Kara Chaddock, Clarie Chilton, Jacey Coca, Norman Davis, Nick Erickson, Jyll Ethier-Mullen, Gale Goldman (aka Goldwoman), Virginia Gott, Joshua Gridley, Aubree Hansen, Stacy Holmstedt, Lathenia Janae, Sandra Johnson Krause, Kiok Jun, Armida Kielty, Jackson Kloog, Igor Kogan, Dani Kump, Peter Kuttner, Myja Lark, Alex Minwoo Lee, Ellen MacEwan, Lamda Mahrya, Teena Maree, Thomas McKee, Max Myers, Ashley Pinnick, Carey Rasmussen, Revolta Art, Maria Rivas, Emily ""Stardust"" Roberts, Maxine Rose, Bruce Spiegel, Mohan Toopal, Emily Voigt, Kim Walker, Amber Wanlielista, Karla Watson, Mark Watson, Jeff Weiss, Hristi Wilbur, John Woodruff, and Chad Worth. The exhibition will be hung in the studio space at FOUND:RE Phoenix and opens to the public on April 17th. The show is open through October 11th, with an opening reception on April 17th, from 6-8pm. The exhibition will be presented as part of FOUND:RE Contemporary’s regular schedule of rotating exhibitions. The works will be for sale in person and at",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1181404755%2F260246399366%2F1%2Foriginal.20260403-223452?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.508&fp-y=0.473&s=34b8870aeb37e6bf7b0639b433a9ded8,04/17/2026,06:00 PM,04/17/2026,08:00 PM,FOUND:RE Phoenix Hotel,1100 North Central Avenue,Phoenix,AZ,85004,https://eventbrite.com/e/opening-reception-of-tiny-tickets-1986680636263
RED & FRIENDS,RED & FRIENDS w/ special guests Camello Road - Celebrating Rob Lichtenstein's Birthday!,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1180612919%2F269527761274%2F1%2Foriginal.20260324-221114?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.501&fp-y=0.573&s=59c808943ff7476c2871534713c8aaf6,04/17/2026,08:00 PM,04/17/2026,,Last Exit Live,717 S. Central Ave,Phoenix,AZ,85004,https://eventbrite.com/e/red-friends-tickets-1985873654559
T&T Construction Open,"T&T Construction Open - Golf Tournament We are excited to be back hosting our 28th annual Golf Tournament. You guys/gals and your generosity make this a great tournament. We are looking forward to providing the Fountain Hills High School sports programs with a much-needed boost to their funding. The As before, this tournament’s purpose is to raise money for the Fountain Hills High School Lady Falcon’s Softball program, the Fountain Hills High School Lady Falcon’s Volleyball program and the Fountain Hills Wrestling program. In 2025, through your generosity, we were able to raise over T&T Construction",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1175354480%2F2034486225733%2F1%2Foriginal.20260120-170650?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=7e72dd9569908b9d57695d7c570c1350,04/24/2026,07:30 AM,04/24/2026,,Arizona Grand Golf Course,Arizona Grand Parkway,Phoenix,AZ,85044,https://eventbrite.com/e/tt-construction-open-tickets-1981013450558
"Etyrnal$tatic Live in Phoenix, AZ May 10th","Etyrnal$tatic Live in Phoenix, AZ May 10th Etyrnal$tatic Live in Phoenix, AZ May 10th",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176666652%2F245586790431%2F1%2Foriginal.20260204-134858?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.516&fp-y=0.678&s=fbfb0172455ec997d11d5b203310ae8a,05/10/2026,07:00 PM,05/10/2026,11:00 PM,Nile Theater,105 West Main Street,Mesa,AZ,85210,https://eventbrite.com/e/etyrnaltatic-live-in-phoenix-az-may-10th-tickets-1982353587945
Lunchtime Theater: Hometown Heroes Barbershop Quartet,"Hometown Heroes Barbershop Quartet blends their unique harmony of voices to a fun medley of Americana favorite. Hometown Heroes Barbershop Quartet adds the unique harmony of their voices to a fun lineup of American favorites in a popular Lunchtime Theater series at the Arts HQ Gallery in Surprise, AZ. Surrounded by the gallery artwork, enjoy camraderie as the melodic quartet inspires, entertains, and brings people today, celebrating the nostalgic tradition of barbershop music. Lunchtime Theater is a seasonal musical and theater performance program offered to enrich the community of the West Valley in Arizona. Presented in partnership with the West Valley Arts Council and the City of Surprise, and hosted at the Arts HQ Gallery, it is a unique, diverse, and intimate experience among the visual and performing arts. Surrounded by gallery artwork, Arizona talent from the Phoenix Opera to local jazz trios and theater groups perform in an afternoon 1-hour show once a month from October-April. Ticket reservations are required in advance, and attendees are welcome to bring their own lunch or go out and support one of the many local restaurants in Surprise. Open seating begins at 11:30am, and each performance runs 12noon-1pm. (623) 584-2626. The Arts HQ Gallery is located at 16126 N. Civic Center Plaza, Ste 102, in Surprise, AZ just north of the Surprise City Hall. Free parking on either side of the one-story building. The entrance is on the west side. Additional parking in the adjacent City Court parking lot.",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1096999983%2F470184576141%2F1%2Foriginal.20250815-193048?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.0095768852898&fp-y=0.00653688728129&s=00ac87fb996c9dd4d457c9fb5ceade50,04/23/2026,12:00 PM,04/23/2026,01:00 PM,West Valley Arts HQ Gallery,16126 North Civic Center Plaza,Surprise,AZ,85374,https://eventbrite.com/e/lunchtime-theater-hometown-heroes-barbershop-quartet-tickets-1560593269479
"MAY 10th: Black Smurf Live in Phoenix, AZ with TokinPotent","MAY 10th: Black Smurf Live in Phoenix, AZ with TokinPotent MAY 10th: Black Smurf Live in Phoenix, AZ with TokinPotent ALL TICKET OPTIONS AT BLACKSMURFTOUR.COM ALL AGES DOORS AT 7PM MEET N GREET AFTER PERFORMANCE Text 817-630-1279 for questions, performance and vendor information!",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1176020907%2F245586790431%2F1%2Foriginal.20260128-021725?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.525&fp-y=0.611&s=5413eba72d75a86bc45fc4b39860c4d4,05/10/2026,07:00 PM,05/10/2026,11:30 PM,Nile Theater,105 West Main Street,Mesa,AZ,85210,https://eventbrite.com/e/may-10th-black-smurf-live-in-phoenix-az-with-tokinpotent-tickets-1981824194515
Arizona Safe Patient Handling Summit 2026,"Join our Safe Patient Handling event! Master care techniques, reduce risks, earn Nursing and APTA credits, and transform patient care. 🌟 🚀 🔍 💪 🔍 🌈 📚 🎉 Join us for this exhilarating event where learning, skill-building, and professional growth come together in a celebration of safe patient handling! 🌟 Provider approved by the California Board of Registered Nursing, Provider # 17497, Contact Hours It is the certified professional’s responsibility to retain this document for a period of 7 years after the course is completed. Craigmile Health Solutions LLC, 119 County Rt 6, Phoenix, NY 13135",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F660808509%2F16349302571%2F1%2Foriginal.20231219-144050?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C25%2C800%2C400&s=4940b5cd04cea6d76ef6704d3cbff92c,04/30/2026,07:30 AM,04/30/2026,04:30 PM,GateWay Community College-18th Street,555 North 18th Street,Phoenix,AZ,85006,https://eventbrite.com/e/arizona-safe-patient-handling-summit-2026-tickets-1980572246906
22nd Annual Kappa League Scholarship and Awards Showcase,"Get ready for the 22nd Annual Kappa League Scholarship and Awards Showcase - a night of celebrating achievements and supporting education! Kappa League is not just an organization; it's a movement dedicated to empowering young men across the valley. Through mentorship, career opportunities, and exposure, Kappa League instills values of leadership, personal growth, and academic excellence in its members. Our program brings together successful men with 6th – 12th grade male students from diverse backgrounds, nurturing their potential and guiding them towards a brighter future. The Annual Kappa League Showcase is the end-of-year celebration highlighting the accomplishments of the Kappa League Scholars. It serves as an opportunity for the Scholars to showcase skills they've learned during the program. It's also an opportunity to raise funds for the Kappa League program to ensure the programs continued success Da’Shaun Holmes, a proud native of St. Petersburg, FL, is a shining example of what focus, drive, and a passion for learning can accomplish. At The Canterbury School of Florida, he distinguished himself early—excelling academically while actively contributing to organizations such as Mu Alpha Theta and the Science National Honor Society. With a clear vision for his future, Da’Shaun pursued Mechanical Engineering at Florida Atlantic University, where his dedication and ingenuity quickly set him apart. In December 2023, he earned his bachelor’s degree and made history at FAU’s Senior Design Showcase, becoming the first student to win both the People’s Choice Award and the Judge’s Choice Award for his innovative senior project. Before crossing the graduation stage, Da’Shaun was selected for a competitive internship with Honeywell Aerospace in Phoenix, AZ, where he trained as an Advanced Manufacturing Engineer. His performance led to a full-time offer in his hometown—but his ambition didn’t stop there. Recognizing where he could make the greatest impact, Da’Shaun returned to Arizona, earning a promotion and continuing to excel in his engineering career. Today, Da’Shaun not only stands as a rising leader in aerospace engineering but also as a proud member of Kappa Alpha Psi Fraternity, Inc., embracing excellence, achievement, and service in everything he pursues",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1175600509%2F2118214731093%2F1%2Foriginal.20260122-222935?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.498&fp-y=0.363&s=58f93443863ee6e7cdb3eba446685891,05/16/2026,06:00 PM,05/16/2026,09:00 PM,George Washington Carver Museum and Cultural Center,415 East Grant Street,Phoenix,AZ,85004,https://eventbrite.com/e/22nd-annual-kappa-league-scholarship-and-awards-showcase-tickets-1977564687214
NRG's Annual Spring Showcase 2026: UNDER THE BIG TOP,"THE EVENT of the SEASON! NRG Ballroom invites you to join your fellow dancers, friends and family for an evening of spectacular dancing! 5:15pm Doors Open 5:30pm – 6:15pm VIP Buffet Dinner 6:15pm - 7pm Social Dancing 6:30pm Doors Open for General Admission Ticket Holders 7pm Showcase Starts - Front Row and Second Row Assigned Table Seating - Buffet Dinner - Dessert Bar - Assigned Chair seating along the walls - Dessert Bar -Doors open at 6:30pm For more info contact the studio: (480) 777 8877 / nrgballroom@gmail.com",https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1177646821%2F197345455480%2F1%2Foriginal.20260216-172702?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=bdc997d3507dba518f108a1833ab6d1e,04/18/2026,05:30 PM,04/18/2026,10:00 PM,NRG Ballroom,931 E Elliot Rd STe 101,Tempe,,85284,https://eventbrite.com/e/nrgs-annual-spring-showcase-2026-under-the-big-top-tickets-1983275869514
